started_at,ended_at,start_station_name,end_station_name,member_casual,rideable_type,trip_duration_min
2024-10-13 07:18:45.611,2024-10-14 08:18:32.104,Michigan Ave & Jackson Blvd,,casual,classic_bike,1499.7748833333333
2024-10-05 17:04:15.545,2024-10-06 18:03:54.702,McCormick Place,,casual,classic_bike,1499.6526166666667
2024-10-30 16:38:54.462,2024-10-30 20:35:08.281,Dearborn Pkwy & Delaware Pl,Dearborn Pkwy & Delaware Pl,casual,classic_bike,236.23031666666665
2024-10-19 08:51:19.897,2024-10-19 12:44:20.613,Sheridan Rd & Noyes St (NU),Sheridan Rd & Noyes St (NU),casual,classic_bike,233.01193333333333
2024-10-04 08:29:36.872,2024-10-04 10:28:34.279,Lakefront Trail & Wilson Ave,Lakefront Trail & Wilson Ave,casual,classic_bike,118.95678333333333
2024-10-04 08:29:49.863,2024-10-04 10:28:10.448,Lakefront Trail & Wilson Ave,Lakefront Trail & Wilson Ave,casual,classic_bike,118.34308333333334
2024-10-11 17:11:57.949,2024-10-11 18:51:24.395,Sedgwick St & Webster Ave,Michigan Ave & 14th St,casual,classic_bike,99.44076666666666
2024-10-05 18:33:12.933,2024-10-05 20:12:13.800,Franklin St & Lake St,Wabash Ave & Grand Ave,casual,electric_bike,99.01445
2024-10-13 08:00:36.991,2024-10-13 09:31:49.287,Damen Ave & Thomas St (Augusta Blvd),LaSalle St & Illinois St,casual,classic_bike,91.20493333333334
2024-10-21 16:33:27.761,2024-10-21 18:03:46.350,DuSable Lake Shore Dr & Monroe St,Dusable Harbor,casual,classic_bike,90.30981666666666
2024-10-07 18:05:14.602,2024-10-07 19:35:12.678,Broadway & Barry Ave,Ravenswood Ave & Irving Park Rd,casual,classic_bike,89.96793333333333
2024-10-08 18:13:15.830,2024-10-08 19:42:11.045,Woodlawn Ave & Lake Park Ave,Woodlawn Ave & Lake Park Ave,casual,electric_bike,88.92025
2024-10-05 18:29:44.350,2024-10-05 19:58:25.784,Sheridan Rd & Buena Ave,Logan Blvd & Elston Ave,member,classic_bike,88.69056666666667
2024-10-02 16:02:52.412,2024-10-02 17:31:07.408,DuSable Lake Shore Dr & North Blvd,Sheffield Ave & Waveland Ave,casual,electric_bike,88.24993333333333
2024-10-06 16:45:49.237,2024-10-06 18:01:14.994,Wabash Ave & Adams St,,casual,electric_bike,75.42928333333333
